MutationType	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100
1:Del:C:0	42	9	39	12	48	45	46	15	23	184	2	11	5	12	4	5	9	21	36	20	36	27	57	43	15	6	16	40	0	12	22	10	1	40	31	35	17	32	22	32	13	8	38	9	19	158	3	41	6	137	46	6	8	60	1	25	9	19	40	29	12	7	21	4	27	24	14	49	25	8	20	20	1	92	9	8	2	34	16	4	4	10	6	7	2	40	210	11	12	37	3	17	130	15	21	26	0	12	24	53
1:Del:C:1	0	3	5	11	21	0	5	2	7	11	1	5	2	10	0	4	0	10	14	10	8	6	20	10	6	1	2	9	2	2	7	1	0	10	1	16	8	1	8	10	4	5	41	2	7	17	0	19	5	53	1	0	1	8	0	4	6	1	16	6	4	0	4	1	1	4	4	7	4	0	3	9	0	10	3	4	6	7	5	3	0	2	1	6	1	17	37	0	6	7	1	10	3	1	1	3	0	6	5	10
1:Del:C:2	91	1	1	5	1	38	86	8	4	174	2	0	4	0	14	8	6	7	1	0	10	5	40	6	6	4	14	29	1	9	0	5	2	31	43	6	3	23	10	25	0	14	5	4	20	91	16	0	12	2	54	3	8	49	0	41	3	13	10	5	4	6	16	0	22	4	4	25	29	18	4	6	0	65	7	0	2	1	7	4	11	10	0	5	1	11	3	20	3	0	6	15	73	10	2	16	3	2	1	18
1:Del:C:3	0	0	1	2	2	0	3	0	0	1	2	0	0	1	0	0	0	2	0	0	0	1	1	0	1	0	1	0	0	1	2	0	0	2	1	2	1	0	2	2	2	1	2	1	0	4	1	4	3	5	1	0	2	1	0	0	0	0	1	2	0	1	0	0	0	10	5	4	0	1	0	0	0	2	2	2	1	1	0	0	0	0	0	2	0	1	4	0	1	0	0	3	0	0	1	2	0	1	0	3
1:Del:C:4	48	0	4	4	3	69	78	4	0	65	15	2	2	0	2	3	3	8	1	2	9	6	33	6	2	5	15	61	0	13	2	4	1	52	33	8	6	34	15	38	6	10	6	1	12	44	11	2	4	6	25	3	30	61	1	12	3	6	10	0	6	7	31	2	12	4	8	37	10	5	10	3	0	14	13	0	2	4	7	2	19	11	5	7	0	16	7	11	0	0	4	7	123	6	3	20	0	1	1	17
1:Del:C:5	0	0	0	1	1	0	0	1	1	3	0	1	1	0	0	1	0	0	1	1	3	4	2	2	0	4	0	0	0	0	0	1	0	2	2	0	1	0	1	4	0	1	0	2	0	0	0	0	0	1	1	0	2	7	1	0	0	0	1	0	2	0	0	1	0	2	1	7	1	2	0	1	1	0	0	1	0	0	0	0	2	0	2	1	0	1	1	1	0	0	2	1	0	6	0	0	0	0	1	0
1:Del:T:0	0	3	7	7	11	2	6	4	5	16	4	7	2	17	0	6	0	3	6	23	12	8	5	16	12	5	2	7	1	5	14	3	1	7	2	38	8	2	19	19	9	3	18	0	10	25	0	20	1	9	2	1	0	3	0	3	2	2	5	4	2	5	0	2	1	20	7	4	3	6	2	9	1	6	4	5	2	3	6	0	2	0	0	8	0	10	28	0	8	8	5	20	3	5	2	3	1	6	12	22
1:Del:T:1	0	1	4	3	6	1	4	2	0	3	1	2	1	1	0	1	1	0	3	4	4	11	1	2	2	1	1	1	0	1	0	0	2	8	3	14	5	1	1	3	0	0	9	3	2	16	0	3	0	10	1	1	1	1	0	2	4	1	7	5	3	0	3	0	1	7	7	1	1	0	1	2	0	2	5	0	0	2	1	0	2	2	1	2	1	2	11	0	3	5	0	6	0	0	1	0	0	2	1	4
1:Del:T:2	1	2	5	2	10	0	1	2	0	6	0	7	0	6	0	4	0	8	6	3	7	14	9	4	3	0	4	8	1	1	25	0	0	10	0	3	7	2	6	5	7	2	7	7	3	36	1	16	0	33	6	3	0	2	1	0	2	1	3	13	3	0	3	2	2	10	4	6	1	1	0	2	1	5	0	0	2	9	2	0	1	1	0	7	0	16	38	0	0	3	2	9	2	1	3	3	1	6	5	9
1:Del:T:3	0	8	3	9	23	0	3	3	2	8	2	6	1	1	1	1	3	5	4	12	13	22	8	9	2	3	5	7	0	3	6	0	0	13	1	15	31	1	6	17	7	3	15	6	0	47	0	35	3	22	4	4	1	5	2	3	5	2	18	8	11	1	3	2	0	14	2	9	1	0	1	9	0	7	3	2	3	12	1	0	0	0	7	5	0	26	41	2	5	10	3	5	0	4	5	11	1	8	6	19
1:Del:T:4	1	1	6	1	7	0	2	1	5	12	2	6	1	8	2	2	0	5	10	19	12	14	9	11	0	13	0	9	0	1	16	6	1	19	2	9	6	3	9	10	7	6	5	4	2	11	0	3	0	17	3	6	6	7	15	2	1	4	18	9	10	4	6	1	4	35	7	38	2	2	1	1	0	3	1	0	12	15	0	2	0	0	5	9	0	22	51	5	4	7	0	5	2	7	6	8	0	13	7	18
1:Del:T:5	26	1	0	5	128	1	4	0	59	65	20	15	15	27	67	17	8	1	0	34	36	281	122	62	5	70	10	1	0	5	1	15	1	114	9	28	87	1	29	15	4	35	29	79	25	6	2	3	13	52	229	116	51	171	94	1	0	19	132	11	49	26	52	3	46	15	26	188	1	22	4	3	11	10	4	1	84	32	0	8	0	0	160	16	2	13	6	26	0	3	31	4	0	204	3	32	17	82	47	113
