MutationType	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100
1:Del:C:0	52	35	5	1	28	47	14	18	28	12	28	1	6	35	6	17	37	10	34	2	40	4	21	33	52	0	55	68	27	1	16	1	3	1	7	12	47	4	9	1	28	5	4	3	57	32	96	47	4	22	17	12	4	127	20	4	6	6	50	19	0	2	29	23	44	5	0	14	14	22	12	0	2	44	6	18	28	4	29	5	5	24	1	2	82	4	11	1	103	23	8	47	8	2	131	6	70	7	5	61
1:Del:C:1	16	10	4	0	8	16	2	3	13	6	4	1	4	13	5	7	18	4	7	2	13	0	8	10	22	0	30	17	7	0	4	2	1	0	2	3	22	1	6	2	6	4	3	1	18	12	31	17	1	4	7	16	2	26	6	1	2	2	22	7	1	3	15	5	15	2	2	7	4	5	8	0	0	24	4	5	15	1	10	0	0	8	2	0	39	1	5	0	46	9	10	8	3	0	40	1	23	0	3	21
1:Del:C:2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	3	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	3	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	3	0	0	3	0	0	0	0	2	0	0	1	0	0	0	1	1	1	1	0	0	1	0	0	0	0	1
1:Del:C:3	2	1	0	0	2	2	0	1	1	1	0	0	0	0	0	2	0	4	1	0	1	0	3	1	4	0	5	4	3	0	1	2	1	1	1	0	1	0	3	1	2	0	0	1	1	1	1	2	1	1	0	3	0	4	0	0	0	0	3	3	1	0	2	2	0	1	2	1	0	0	0	0	0	4	0	1	3	0	1	0	0	2	2	0	1	0	2	0	1	2	0	2	1	0	3	0	1	1	0	4
1:Del:C:4	3	1	0	1	1	3	0	3	1	1	1	0	1	1	1	1	1	0	0	0	4	2	0	1	0	0	2	2	2	0	0	0	0	0	0	0	2	1	0	0	2	0	0	0	3	1	0	0	0	0	0	0	0	4	2	0	0	0	3	2	0	0	1	1	2	2	1	0	1	2	1	0	0	2	1	1	2	0	1	1	0	1	0	0	4	0	0	0	5	1	0	2	0	0	2	1	3	0	2	3
1:Del:C:5	3	0	1	1	1	0	2	1	4	1	0	0	1	0	0	0	2	2	1	0	0	2	0	0	1	0	0	1	0	0	0	3	1	1	0	2	0	2	3	0	1	0	0	2	0	0	1	1	1	1	0	2	0	4	2	1	5	0	0	3	1	6	0	0	0	0	2	0	0	0	1	0	0	0	5	1	2	3	0	1	2	0	0	1	0	1	0	1	1	0	0	1	0	1	0	0	1	0	4	0
1:Del:T:0	15	10	5	0	11	28	20	46	12	10	8	0	2	10	2	8	19	10	15	15	8	4	16	19	20	0	23	38	14	0	6	2	7	0	2	4	14	5	9	3	14	6	3	1	24	11	38	11	1	7	7	7	2	46	11	5	3	9	17	7	7	8	11	12	15	5	5	10	3	9	5	1	2	17	5	19	25	4	18	2	4	11	3	5	33	11	9	6	37	7	11	10	10	2	59	7	18	1	14	25
1:Del:T:1	4	7	1	0	4	7	2	3	11	2	5	1	1	5	0	5	5	1	3	1	4	1	6	2	13	3	5	8	2	0	3	0	1	1	1	1	7	0	3	0	2	0	0	0	11	4	8	5	2	4	3	4	2	20	2	1	0	1	8	2	2	1	5	1	3	0	0	4	2	2	3	0	2	7	1	3	3	0	5	0	1	3	0	0	15	0	2	0	10	1	0	5	0	0	13	1	8	2	1	8
1:Del:T:2	12	7	4	0	9	17	7	8	17	5	6	0	4	13	2	9	9	3	8	0	14	0	2	6	18	0	11	14	4	0	3	1	1	0	3	4	12	1	3	0	11	4	0	1	14	10	24	12	1	9	1	4	2	34	8	0	4	1	11	4	1	1	8	6	12	0	3	7	1	4	1	0	1	12	4	6	7	2	9	0	0	5	1	2	17	3	2	0	22	7	5	8	1	3	42	0	11	0	4	22
1:Del:T:3	14	9	4	3	11	19	12	5	10	6	8	2	6	8	4	5	13	6	15	1	15	2	2	23	22	0	28	20	12	0	9	2	1	0	7	2	19	1	7	0	7	6	1	2	20	13	26	22	1	11	7	8	3	50	5	0	5	0	34	9	6	3	10	5	12	2	4	9	7	7	6	0	1	17	3	6	9	6	12	3	2	7	0	1	34	0	0	0	33	8	2	14	1	1	48	1	17	2	6	28
