MutationType	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100
1:Del:C:0	8	12	56	41	117	13	34	70	31	9	45	31	3	29	10	10	54	24	33	30	13	25	39	28	26	60	0	32	47	10	14	42	76	8	40	56	71	39	78	21	17	42	178	35	3	8	147	33	52	62	14	5	2	30	61	13	19	57	4	31	20	27	25	11	82	12	62	7	36	25	125	6	6	45	17	44	21	83	27	46	4	19	11	7	55	2	122	4	9	15	25	23	11	5	6	17	34	78	15	1
1:Del:C:1	3	2	0	6	30	0	6	9	3	0	3	8	0	2	5	11	9	1	29	5	5	16	2	7	4	29	1	1	0	0	0	1	4	3	1	2	42	0	40	0	10	5	17	1	3	1	6	5	21	3	6	0	0	4	13	16	4	9	0	9	2	9	4	0	10	0	13	2	6	8	5	5	1	0	4	0	7	7	5	0	0	0	2	0	0	2	2	3	0	6	1	9	9	1	2	0	10	3	1	0
1:Del:C:2	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	3	0	1	0	2	0	1	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1:Del:C:3	0	1	0	0	6	1	5	0	2	1	1	0	0	0	0	3	1	0	0	1	0	4	3	2	2	2	0	0	3	1	0	1	1	0	2	0	4	0	0	0	3	1	4	0	1	0	2	1	0	1	0	0	0	1	2	3	1	1	0	1	0	0	4	0	3	0	7	2	7	1	2	0	0	1	1	0	0	1	1	3	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	2	0	0
1:Del:C:4	1	1	47	8	12	0	40	3	2	1	1	9	3	12	0	4	0	12	3	17	0	1	14	35	3	5	0	25	48	4	9	17	95	4	0	120	11	19	4	26	0	5	10	26	1	1	41	23	42	71	0	6	0	4	19	0	29	2	1	2	0	17	20	4	51	28	28	2	2	2	5	0	0	25	11	73	11	36	15	3	3	16	0	14	48	0	74	1	7	6	23	3	0	0	4	43	12	62	22	1
1:Del:C:5	0	0	0	1	3	0	0	0	0	2	0	1	4	0	1	0	1	0	0	1	0	1	9	6	0	0	0	1	1	3	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	3	0	1	0	0	0	0	1	0	3	0	0	0	2	4	0	1	1	1	1	0	0	0	0	1	0	3	4	0	1	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	1	2	0	0	0	2	1	0
1:Del:T:0	4	6	0	10	25	5	11	21	16	0	3	7	2	3	8	6	21	1	14	7	7	9	4	2	4	39	0	4	2	3	6	4	0	5	21	8	31	5	23	0	15	15	45	0	8	1	5	4	35	3	7	0	3	6	11	21	2	16	0	5	6	12	4	0	24	2	14	4	9	14	29	0	0	0	19	2	2	12	5	10	0	0	2	7	1	2	4	3	0	3	1	11	12	3	1	1	6	6	1	0
1:Del:T:1	0	5	0	6	4	1	4	3	4	1	3	5	0	2	1	4	3	1	12	2	1	16	5	6	6	7	3	0	3	1	2	1	4	1	6	10	29	0	17	1	7	3	19	2	3	0	4	3	8	1	1	4	2	3	10	6	2	4	1	4	2	1	2	0	6	0	13	1	5	3	29	0	8	1	8	2	8	8	2	1	0	2	6	3	7	1	1	1	1	2	0	6	5	3	0	0	7	2	1	0
1:Del:T:2	0	0	1	10	29	2	4	16	13	0	13	1	0	1	3	7	19	0	4	2	1	16	1	1	1	17	0	0	5	0	0	2	0	1	5	4	15	1	29	0	3	3	18	2	1	0	4	1	8	2	2	0	0	5	12	2	8	16	0	2	3	8	6	0	3	1	20	2	6	15	25	1	3	2	3	3	5	6	6	1	0	0	2	2	1	3	0	4	2	9	0	4	8	2	0	0	0	3	2	1
1:Del:T:3	2	3	0	14	6	0	3	9	14	2	5	4	3	4	5	2	31	1	22	7	9	15	11	0	9	19	1	0	2	1	0	8	0	5	9	2	18	13	26	0	2	22	28	0	0	0	22	1	19	1	6	1	0	8	9	5	9	7	1	16	3	8	10	1	0	0	33	0	7	7	37	3	2	2	2	5	3	5	5	8	0	1	1	4	0	1	0	3	1	13	2	8	16	2	0	1	4	2	0	1
