MutationType	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100
1:Del:C:0	0	12	19	16	38	62	3	15	2	5	6	0	43	143	8	12	39	0	0	21	13	29	10	4	28	8	20	3	6	8	4	9	9	35	61	8	23	5	0	3	15	2	38	52	8	4	1	13	51	9	69	0	4	3	45	12	27	17	7	0	49	4	122	5	112	5	105	41	78	7	61	29	3	23	48	10	32	0	23	29	16	98	2	8	8	1	23	22	0	111	3	12	0	11	4	2	9	21	5	49
1:Del:C:1	0	2	1	2	2	27	1	6	0	0	0	1	6	100	3	11	11	0	1	5	3	17	2	4	14	4	9	0	1	2	0	1	1	12	12	13	8	3	0	0	7	1	8	3	0	5	0	3	9	3	45	0	1	1	24	2	4	2	0	0	11	3	25	0	30	0	33	7	19	0	14	15	0	3	8	9	12	0	4	6	7	12	2	3	3	4	0	4	0	45	0	2	0	11	2	2	3	10	4	8
1:Del:C:2	0	0	2	0	0	0	0	0	0	0	2	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	3	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
1:Del:C:3	0	3	0	1	2	1	0	0	0	2	0	0	2	9	0	0	4	0	0	2	0	1	2	0	1	1	0	0	0	2	0	0	0	2	6	4	0	0	0	0	1	1	0	2	2	0	0	1	0	1	3	0	0	1	3	0	0	1	1	0	0	1	3	0	2	0	6	1	2	0	1	4	2	1	1	0	5	0	0	4	0	6	0	0	1	2	2	0	0	4	0	0	0	3	1	0	1	2	4	3
1:Del:C:4	0	6	2	2	7	2	3	0	6	9	0	0	2	4	2	2	3	0	2	3	6	2	3	0	1	0	3	0	4	4	0	1	5	3	2	4	1	1	0	2	1	0	6	3	6	0	0	2	1	2	1	0	0	0	0	0	3	3	7	3	0	0	11	0	7	0	7	3	6	3	1	3	2	12	7	5	5	0	8	6	0	6	3	1	0	4	0	4	14	6	1	7	0	5	0	1	0	2	2	9
1:Del:C:5	0	5	0	1	0	0	4	1	0	3	0	0	0	2	2	0	0	0	1	1	2	0	1	4	1	1	5	0	0	4	0	2	0	0	3	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	1	0	2	0	1	0	0	1	3	2	2	0	2	1	0	0	0	1	1	1	0	1	0	1	0	0	0	4	2	3	0	1	0	1	0	0	2	0	1	1	0	1	1	1	0	1	0	1
1:Del:T:0	0	7	10	3	7	21	4	10	1	3	4	1	17	23	4	7	13	0	0	10	5	16	1	3	12	1	2	1	2	4	0	0	2	7	10	8	1	4	0	0	9	3	7	8	12	8	0	10	14	2	17	1	0	1	21	4	2	10	8	1	4	2	43	0	51	1	35	4	20	0	19	14	2	5	27	2	9	3	8	8	4	31	7	1	4	0	9	9	0	50	1	6	1	23	0	0	3	9	5	13
1:Del:T:1	0	1	0	0	4	21	0	1	0	0	2	0	5	33	3	3	3	0	0	5	1	11	2	1	2	1	1	0	1	2	0	3	2	6	4	16	3	4	0	0	17	7	2	9	0	0	0	3	7	1	6	0	0	0	7	1	2	4	1	0	1	0	24	0	14	1	16	4	14	1	12	5	1	2	2	2	6	0	0	5	5	7	1	1	2	1	4	1	0	19	1	1	1	10	0	0	0	3	1	1
1:Del:T:2	2	3	3	12	5	54	1	8	3	6	12	3	5	61	4	6	2	8	9	6	1	10	2	4	14	11	9	2	2	2	1	4	12	10	23	18	14	4	0	3	20	11	7	22	2	27	0	6	7	5	15	0	3	17	8	13	13	8	1	0	10	30	28	0	17	23	40	12	46	2	29	9	3	2	17	4	13	0	3	5	6	9	1	5	0	2	19	9	2	56	6	4	6	12	8	6	3	11	7	27
1:Del:T:3	0	4	5	7	13	23	6	12	1	4	0	2	10	53	9	10	9	1	0	19	11	32	2	2	6	1	4	0	2	3	5	3	3	26	16	31	9	5	1	2	8	7	10	34	7	1	3	8	12	11	19	0	3	2	19	2	9	8	3	1	7	4	20	2	53	2	31	10	30	0	6	5	8	3	19	3	4	0	7	0	7	34	1	8	5	1	14	7	2	41	1	4	1	4	2	2	1	1	3	18
1:Del:T:4	0	9	1	10	9	22	2	13	0	18	1	0	14	41	3	5	2	0	0	13	3	10	1	5	6	8	7	0	1	6	0	2	9	7	17	9	5	6	2	2	12	0	3	9	16	1	1	6	5	8	11	1	1	2	9	3	7	5	1	0	15	7	52	0	30	1	63	13	37	2	26	7	5	9	21	11	13	0	3	0	8	23	1	2	3	1	12	9	5	40	4	6	1	8	0	0	0	8	2	14
1:Del:T:5	19	87	11	105	3	25	94	40	3	221	8	5	40	89	25	0	17	2	9	15	117	39	12	112	1	54	59	5	7	70	27	2	28	5	39	3	2	14	13	33	129	5	3	4	27	6	33	0	0	1	6	15	12	40	6	3	13	3	0	0	124	101	158	9	8	0	6	0	80	6	10	1	18	0	76	83	147	0	2	14	6	7	23	3	5	1	0	1	70	10	46	122	22	2	10	1	6	78	5	42
1:Ins:C:0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1:Ins:C:1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0
1:Ins:C:2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
1:Ins:C:3	5	39	6	14	2	94	0	1	6	26	74	25	2	86	16	0	17	60	43	7	0	68	7	11	7	15	2	10	17	6	0	37	21	7	30	30	31	0	9	42	29	38	125	26	16	209	27	0	11	7	47	1	33	55	1	33	19	4	14	0	6	204	10	3	3	262	10	11	290	0	74	3	2	0	36	5	71	1	6	24	0	5	0	14	14	1	14	10	8	53	8	35	26	19	48	36	0	15	11	1
1:Ins:C:4	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0
1:Ins:C:5	0	1	0	1	1	0	2	1	0	3	0	0	0	1	5	0	4	1	1	0	0	0	5	1	3	0	2	5	1	1	0	2	0	0	4	7	0	0	0	0	2	7	0	5	2	0	0	1	0	0	1	4	0	0	3	0	1	1	5	1	1	7	2	0	0	0	1	2	0	0	4	1	2	4	2	3	1	0	6	6	0	6	0	20	0	0	1	0	5	1	0	0	0	1	0	0	0	2	0	0
1:Ins:T:0	1	2	1	0	1	3	0	2	0	0	0	0	1	3	0	1	0	0	0	0	1	4	0	0	5	0	5	0	0	1	0	1	0	6	6	1	1	1	0	1	5	1	2	2	0	1	0	1	1	0	0	0	1	0	1	0	0	2	0	0	1	1	1	0	1	0	5	1	6	0	6	1	0	0	3	0	3	0	1	2	1	2	2	2	0	0	1	0	1	4	1	1	0	0	1	0	0	0	3	4
