Mutation	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100
1:Del:C:0	1	4	41	0	45	40	7	83	13	1	14	1	28	1	13	6	32	0	4	11	4	42	16	2	93	24	78	51	11	55	64	3	2	14	32	7	1	9	15	3	2	61	3	20	4	6	2	31	26	40	11	34	22	2	4	14	3	4	28	22	11	9	0	4	3	27	34	53	17	3	19	2	21	26	52	0	32	3	0	21	0	4	4	7	2	2	1	0	14	12	0	5	15	12	3	2	7	1	7	11
1:Del:C:1	2	5	13	0	30	5	0	13	4	1	11	0	3	0	4	3	10	3	7	0	2	27	9	0	43	4	6	15	0	8	24	1	2	5	3	2	1	4	28	8	2	15	4	3	5	2	0	16	5	4	1	5	4	1	3	10	1	8	1	10	3	4	0	2	4	12	5	24	7	3	6	1	12	11	17	2	4	6	0	3	0	2	3	4	3	0	0	2	4	4	0	2	4	1	0	0	4	0	2	4
1:Del:C:2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	2	0	1	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
1:Del:C:3	0	3	0	0	0	4	1	4	0	0	0	0	1	0	0	1	0	0	0	2	1	1	1	1	3	0	1	1	0	3	6	1	1	2	2	0	0	1	2	1	1	7	0	0	4	0	1	2	1	0	0	0	1	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	1	1	0	4	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	1	0
1:Del:C:4	1	0	3	0	1	2	3	1	0	0	1	1	3	0	0	2	1	0	2	0	0	4	1	0	8	1	1	1	0	3	1	0	0	2	1	0	0	0	0	0	0	1	0	1	0	0	1	3	2	2	0	1	2	0	1	1	0	0	0	1	2	0	0	0	0	2	2	0	2	0	0	0	1	0	1	0	0	0	0	2	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0
1:Del:C:5	1	0	0	1	0	0	0	3	1	1	1	0	3	0	0	1	0	0	0	0	1	3	0	5	0	0	1	0	0	1	8	1	1	0	0	0	0	0	0	2	0	2	0	0	1	0	0	2	2	1	0	0	1	0	0	0	0	3	1	2	2	2	1	0	0	2	0	0	0	0	6	0	2	0	0	0	2	0	0	7	1	1	3	2	0	1	0	0	1	0	1	3	0	0	0	1	1	0	2	1
1:Del:T:0	1	3	2	0	23	21	5	20	10	3	4	1	4	2	7	1	10	1	7	4	2	9	3	4	42	6	15	11	2	13	26	2	1	3	10	3	0	8	26	6	2	23	1	3	3	0	0	1	5	8	2	2	9	1	0	9	0	3	1	20	12	4	0	1	0	3	16	15	6	3	15	1	4	5	14	0	8	1	0	2	1	1	16	1	2	1	2	2	5	7	2	1	3	1	0	1	2	1	5	1
1:Del:T:1	0	1	6	0	8	2	3	13	2	0	1	1	3	0	2	0	4	0	0	0	1	2	3	1	11	3	20	8	1	0	10	0	0	3	7	0	0	0	7	1	0	2	0	0	1	2	0	4	2	4	1	1	1	0	0	0	0	4	4	6	2	1	0	3	0	1	1	3	1	0	1	0	1	2	7	0	2	0	0	2	1	1	2	0	0	0	0	1	1	3	0	0	1	1	1	2	0	0	0	2
1:Del:T:2	1	1	14	1	14	15	1	27	2	0	9	0	9	0	3	0	9	0	2	3	1	9	2	3	25	1	17	11	1	9	20	1	0	2	3	1	0	1	17	1	0	15	2	7	3	3	0	14	3	19	1	5	6	2	0	16	1	1	4	5	9	2	2	0	3	3	5	21	11	3	7	1	2	5	7	0	9	0	0	6	0	0	9	1	0	1	1	2	0	1	0	2	1	8	3	0	3	0	3	3
1:Del:T:3	2	0	7	1	12	16	6	20	2	0	16	0	10	1	1	1	17	0	8	13	3	4	7	4	36	9	11	8	2	10	28	2	3	6	12	2	0	5	15	1	0	31	1	7	6	1	0	10	6	12	3	5	6	9	1	5	2	5	1	15	9	7	0	0	1	8	8	14	16	0	5	2	11	2	18	0	5	5	2	8	1	1	2	5	3	3	2	0	1	2	1	2	1	3	0	2	4	0	7	3
