Mutation	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100
1:Del:C:0	24	5	22	17	25	0	18	2	54	2	30	2	49	26	8	0	16	36	10	29	50	3	65	95	16	9	4	16	25	4	3	9	6	2	2	33	5	1	9	21	4	19	12	64	35	6	0	24	27	30	20	3	15	9	8	120	0	114	2	7	11	10	74	11	2	6	37	0	4	34	9	0	13	5	32	17	13	27	14	5	6	5	7	45	12	3	14	5	19	34	4	0	41	4	3	10	3	36	0	9
1:Del:C:1	5	0	6	9	8	0	2	2	12	1	9	1	14	7	11	0	1	3	8	15	3	0	17	34	3	7	4	11	6	0	1	20	0	0	2	4	1	0	2	10	0	5	2	18	14	3	0	6	5	5	6	1	5	1	3	5	1	35	1	1	2	5	2	7	0	2	4	0	0	0	4	0	4	2	13	7	2	18	5	5	1	1	1	11	6	0	4	1	6	8	1	1	9	1	2	4	3	24	0	2
1:Del:C:2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	1	0	2	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	1	1	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1:Del:C:3	0	0	3	0	0	0	3	1	1	0	0	0	1	2	0	0	2	2	0	2	6	0	5	7	1	2	0	1	0	0	0	1	0	0	1	0	1	2	2	3	0	2	0	4	3	0	2	1	3	2	1	0	0	3	0	1	2	3	0	3	0	1	2	4	1	0	1	0	0	3	1	0	0	0	1	1	0	2	0	0	0	1	3	2	0	0	0	0	0	0	0	0	1	1	0	1	0	8	0	1
1:Del:C:4	0	0	0	0	2	0	3	1	2	0	0	0	2	3	1	1	1	0	2	2	0	1	4	4	4	1	1	0	0	0	0	0	0	1	0	1	2	0	1	0	0	0	2	4	0	0	0	0	2	2	3	0	0	0	2	2	1	2	0	3	0	2	1	0	0	0	1	1	0	0	0	0	4	0	0	0	1	1	1	3	0	0	0	2	2	0	0	0	1	0	1	0	3	2	2	0	0	3	0	2
1:Del:C:5	0	0	2	0	6	0	4	2	2	1	0	0	0	0	0	0	1	1	2	0	2	0	1	6	4	1	3	3	0	0	1	0	1	1	2	1	0	1	1	0	2	2	0	2	0	0	4	0	3	1	0	0	1	9	0	1	0	0	1	1	0	1	1	1	3	1	0	0	0	2	0	0	2	1	0	3	4	2	1	9	0	1	0	0	0	0	0	3	1	0	2	0	0	3	3	0	0	1	0	2
1:Del:T:0	1	5	9	4	10	3	7	3	32	1	3	2	4	10	7	0	1	6	10	8	18	1	85	23	4	2	2	10	15	6	4	17	0	0	1	6	1	2	9	32	1	7	4	12	11	3	2	6	19	18	4	4	3	6	1	14	0	22	1	6	1	5	19	4	4	1	13	1	2	7	6	0	9	1	4	15	8	21	2	10	6	4	2	3	1	1	4	5	1	11	1	1	11	0	1	8	2	19	4	3
1:Del:T:1	1	0	3	1	2	0	0	3	2	0	0	0	2	11	3	0	1	6	3	5	3	0	11	2	0	0	0	2	3	0	1	10	3	0	1	1	1	0	3	9	1	1	1	10	5	0	0	4	2	0	3	1	2	1	2	11	0	10	1	1	2	0	4	3	2	1	3	0	2	0	0	0	1	1	5	6	2	6	1	2	1	0	2	1	2	0	0	1	3	2	0	0	1	0	0	7	2	13	1	1
1:Del:T:2	0	0	7	8	11	0	10	1	19	1	4	1	5	2	5	0	2	7	3	5	20	0	31	16	4	6	4	3	8	2	2	21	0	1	1	2	0	0	4	15	2	3	1	20	9	6	1	7	12	5	1	2	1	0	0	19	1	32	0	6	5	5	21	7	1	1	8	0	1	8	1	0	9	1	0	9	5	20	4	8	4	0	3	2	0	1	2	0	9	7	0	0	14	3	0	3	2	11	0	2
1:Del:T:3	4	2	24	4	5	0	8	1	15	2	5	0	8	14	3	0	2	8	5	13	16	6	52	15	9	6	11	5	9	3	3	15	2	0	4	4	3	3	10	18	1	8	2	16	17	4	7	7	13	9	10	3	6	4	0	21	1	26	0	4	2	6	25	5	11	1	16	3	2	3	1	1	0	3	4	13	6	21	7	3	9	6	2	13	3	1	3	7	13	8	2	0	13	4	2	4	0	3	0	9
