Mutation	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100
1:Del:C:0	28	1	45	80	30	189	2	12	9	18	4	62	24	0	27	0	10	15	1	18	19	54	1	82	35	6	0	7	2	1	3	18	10	8	2	16	5	28	1	78	10	6	12	12	20	13	4	18	20	5	12	8	46	16	54	5	1	46	8	22	2	20	11	9	3	11	1	7	0	8	68	0	10	79	1	54	7	17	27	20	9	6	26	5	25	47	15	11	21	23	8	0	11	27	18	15	2	28	24	63
1:Del:C:1	12	1	16	26	17	71	2	4	4	7	0	12	12	0	8	0	7	8	0	5	7	19	0	14	11	4	1	1	1	1	1	9	8	4	1	4	3	12	0	29	7	1	7	7	10	2	2	9	8	4	5	1	17	7	15	1	1	18	4	6	1	16	6	4	2	2	0	5	2	1	23	1	4	31	0	6	3	5	10	8	3	1	5	1	8	10	11	2	6	7	4	0	12	5	4	7	6	6	5	6
1:Del:C:2	0	0	1	2	1	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	1	3	0	0	0	0	2	0	1	1	0	0	2	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	0	2	0	0	0	0
1:Del:C:3	1	0	5	1	0	5	0	1	0	1	0	2	3	0	4	1	1	1	1	0	0	1	0	1	0	0	0	0	0	1	1	2	0	2	2	1	0	0	1	2	1	0	0	0	7	1	0	0	0	0	0	0	0	2	3	0	0	1	0	6	1	1	3	1	0	2	0	1	0	1	0	0	0	6	0	0	1	2	0	2	0	1	4	1	3	2	2	0	3	0	1	0	0	2	3	0	0	2	1	1
1:Del:C:4	0	1	3	7	1	7	0	4	0	0	1	0	1	0	3	0	1	0	1	0	0	2	1	2	2	0	1	1	0	0	0	2	2	1	0	0	1	3	0	2	1	0	0	2	2	0	0	0	0	0	0	0	1	2	3	0	0	4	0	2	0	2	1	1	0	0	1	1	1	2	6	0	0	3	0	4	0	1	1	0	0	2	0	2	0	0	0	0	0	2	0	0	0	4	0	2	0	0	1	1
1:Del:C:5	2	1	0	1	1	4	0	5	1	3	1	1	1	2	0	0	0	0	0	0	1	0	0	1	0	1	2	0	0	1	0	1	0	0	0	0	0	2	0	1	2	0	1	0	1	5	2	0	0	2	0	0	1	0	0	1	1	3	1	0	1	0	2	4	0	0	0	3	1	2	0	0	0	1	0	4	0	0	0	1	1	2	0	0	2	0	2	0	0	2	0	0	0	1	1	0	0	2	0	0
1:Del:T:0	10	2	21	17	17	64	3	7	2	9	1	18	11	1	9	1	8	6	1	5	2	13	0	19	11	0	0	0	3	1	1	4	4	2	0	16	6	17	4	22	5	1	10	12	23	9	0	5	6	6	5	0	13	5	27	1	1	18	4	9	0	12	9	6	1	5	1	10	3	5	15	1	5	31	1	16	5	8	11	9	3	1	13	1	9	16	14	2	6	6	2	0	4	6	6	10	0	7	16	23
1:Del:T:1	4	0	5	12	3	25	1	1	2	3	0	9	3	1	7	0	2	2	1	4	2	4	0	7	7	1	3	1	2	1	1	5	0	2	2	4	1	3	0	6	0	1	3	4	6	4	0	4	6	0	1	5	2	1	5	1	0	5	2	3	1	1	4	1	1	1	0	3	0	1	12	0	1	13	1	6	2	6	5	6	1	3	6	0	4	4	6	1	3	3	0	1	1	3	1	6	0	1	4	11
1:Del:T:2	9	2	12	21	7	53	2	1	2	11	1	19	10	1	6	0	2	1	1	4	7	14	0	12	15	1	0	2	1	1	0	4	2	3	1	0	0	8	0	18	3	3	7	5	10	1	0	4	4	1	2	3	20	0	22	0	1	11	2	5	0	7	2	4	1	2	0	5	3	5	19	0	3	29	1	7	2	5	3	3	1	1	10	0	7	11	2	0	4	2	4	0	4	3	3	3	1	4	3	12
1:Del:T:3	9	4	20	18	10	63	2	3	2	18	1	22	14	1	7	1	4	4	0	6	4	19	0	28	10	7	1	1	3	2	0	7	2	5	0	2	1	15	3	16	13	1	4	8	11	3	0	4	4	9	3	0	22	5	26	3	0	13	2	2	3	11	2	3	5	4	1	9	3	4	21	0	1	34	0	15	0	5	8	8	2	5	15	3	9	19	2	3	9	5	9	1	6	8	4	6	3	2	7	12
