Mutation	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100
1:Del:C:0	3	3	3	20	8	6	17	50	30	67	3	11	2	40	0	8	36	5	2	17	46	3	83	6	26	12	18	157	8	11	7	114	3	0	4	5	12	6	32	5	64	9	11	7	15	7	9	41	83	25	57	17	162	67	3	13	10	49	1	6	0	6	9	1	2	27	2	84	28	11	0	11	44	4	9	189	4	1	8	7	28	17	1	8	0	76	15	1	8	46	7	2	6	17	70	49	1	1	2	1
1:Del:C:1	1	1	2	10	4	5	2	24	14	27	0	4	0	15	0	4	14	1	0	10	15	4	29	1	5	1	14	56	3	1	3	25	0	0	2	7	7	1	11	5	16	1	3	3	4	2	1	9	31	10	10	5	35	19	2	4	5	11	2	5	1	3	4	1	0	5	1	31	7	1	0	4	16	3	3	49	2	0	4	5	6	3	0	3	0	34	6	2	5	14	2	1	3	2	23	17	0	0	1	1
1:Del:C:2	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	1	0	2	1	2	3	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	1	0	2	1	0	0	1	2	0	1	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
1:Del:C:3	0	0	1	2	0	1	0	1	2	4	1	0	0	1	0	0	1	0	0	4	2	1	5	2	3	2	3	1	0	1	1	4	0	0	1	1	0	1	0	1	1	0	0	1	0	0	0	1	1	4	1	2	4	4	1	0	2	1	0	0	0	0	3	0	2	2	0	3	3	0	0	0	0	0	1	5	0	0	1	1	2	0	0	1	0	1	0	1	1	1	1	0	0	0	5	2	0	0	0	0
1:Del:C:4	0	0	0	1	0	0	0	2	1	3	0	0	0	0	0	1	2	0	0	1	2	4	9	0	2	0	1	5	0	1	0	6	0	0	0	2	2	1	1	2	3	0	0	1	0	0	0	1	2	3	1	1	6	0	1	0	1	1	1	0	1	3	1	0	2	1	0	3	0	0	0	0	3	0	2	4	0	0	0	1	1	0	0	0	1	2	1	0	0	6	0	0	1	1	1	1	1	0	0	0
1:Del:C:5	0	1	2	0	0	0	0	0	5	1	0	0	2	2	1	0	0	0	4	2	0	0	0	1	0	0	0	0	1	2	0	6	0	1	0	0	0	3	1	4	0	1	0	2	0	1	1	1	0	1	0	2	0	0	4	0	1	1	3	0	2	3	0	0	1	1	1	2	2	3	0	0	1	0	3	2	0	0	0	1	1	1	0	1	0	1	1	0	0	0	1	0	6	0	0	0	1	0	0	0
1:Del:T:0	0	2	7	6	5	4	4	26	12	42	1	4	1	22	0	4	12	2	2	11	19	5	39	3	11	11	11	49	5	7	4	37	1	2	0	9	6	2	15	3	19	2	3	5	8	2	3	16	34	12	15	7	28	18	2	6	8	19	2	4	0	9	7	2	2	10	2	26	6	6	0	3	24	5	6	57	6	1	2	5	7	8	2	5	1	22	8	2	3	16	3	1	2	9	28	11	0	0	1	3
1:Del:T:1	1	0	0	5	1	2	1	13	3	22	0	1	0	17	0	1	3	0	1	4	7	3	9	0	1	3	3	18	0	2	3	14	1	0	0	3	3	0	3	0	7	0	2	2	1	0	1	5	16	4	5	7	16	13	0	1	1	4	0	1	0	1	5	0	1	4	2	10	3	1	0	3	8	1	1	27	1	0	1	2	1	5	0	1	0	10	2	3	0	6	2	0	1	3	8	7	0	0	0	1
1:Del:T:2	0	0	2	10	3	4	3	21	4	25	1	2	1	12	0	3	7	2	2	2	14	5	33	1	6	4	4	32	1	4	3	21	2	1	1	4	4	2	5	2	12	2	4	3	5	0	0	7	23	13	10	9	52	18	2	7	4	12	2	4	1	3	2	0	0	10	2	18	2	5	0	1	20	2	1	53	0	0	2	6	12	3	1	1	0	27	4	2	1	14	4	0	6	1	12	8	0	1	1	1
1:Del:T:3	3	5	3	9	4	8	6	19	14	24	2	1	0	22	0	2	12	1	3	8	10	4	45	2	9	3	4	49	3	6	4	33	1	6	1	6	4	3	13	8	21	0	4	7	7	1	1	12	31	7	19	12	43	23	4	3	4	17	2	4	2	2	6	0	0	9	2	29	8	6	0	1	12	3	7	67	0	0	3	7	8	3	1	3	2	26	3	1	1	9	3	3	8	7	28	17	1	0	1	0
1:Del:T:4	0	3	2	2	5	6	2	10	13	24	3	2	6	16	2	3	11	0	7	1	12	1	44	4	3	6	8	41	3	8	2	26	0	3	2	13	3	6	8	9	19	1	4	6	9	1	0	11	25	7	19	17	36	13	6	5	3	16	3	2	1	4	0	0	3	11	0	20	7	7	1	4	25	7	7	49	0	0	3	6	8	1	1	7	2	22	1	2	0	11	1	1	12	2	18	8	4	2	1	3
1:Del:T:5	3	39	68	13	11	0	3	11	112	15	24	4	104	13	18	2	2	0	94	17	39	53	76	20	51	108	11	8	3	118	0	121	0	58	12	141	15	128	25	152	1	29	3	137	39	2	9	37	2	2	62	151	32	20	83	15	2	58	51	6	97	83	18	10	39	40	15	73	8	137	7	6	20	11	58	59	1	0	6	36	23	3	8	4	6	0	11	2	6	8	3	17	161	3	36	16	45	7	9	17
1:Ins:C:0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1:Ins:C:1	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1:Ins:C:2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0
1:Ins:C:3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1:Ins:C:4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
1:Ins:C:5	0	2	5	1	0	0	0	0	0	0	4	0	0	2	7	0	0	0	1	4	0	3	3	0	0	1	4	2	1	2	3	2	1	2	0	3	0	2	0	3	0	3	1	3	2	1	0	3	1	2	3	15	1	2	1	0	4	2	7	0	2	1	0	1	3	0	0	7	2	2	0	2	1	0	0	1	0	0	0	2	11	1	0	5	1	0	0	0	0	0	5	0	4	0	7	0	0	0	0	0
1:Ins:T:0	0	0	0	1	0	0	0	1	1	4	0	0	0	5	0	0	4	0	0	1	1	0	4	0	1	1	2	8	0	1	0	5	0	0	0	1	0	0	4	0	2	0	2	1	0	0	0	2	2	1	5	1	5	2	0	0	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	6	1	2	1	0	0	3	0	0	1	5	1	0	0	2	4	0	1	2	1	4	0	0	1	1
1:Ins:T:1	0	0	0	3	0	0	0	3	0	6	0	0	0	2	0	0	1	0	0	1	0	0	4	0	0	1	2	4	2	1	1	6	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	5	0	3	0	6	3	0	2	2	1	0	0	0	0	2	0	0	0	1	4	0	0	0	0	0	0	2	3	0	1	0	1	0	0	0	0	0	0	0	0	2	4	0	0	0	1	4	3	0	0	0	0
1:Ins:T:2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	3	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	2	0	0	0	0
1:Ins:T:3	0	0	0	2	0	1	0	0	1	0	0	0	0	2	0	0	0	1	1	3	0	0	1	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	3	1	0	0	1	1	1	0	0	2	0	1	1	0	3	1	1	2	1	0	1	0	0	1	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	1	0	0	1	2	0	0	0	0	0
1:Ins:T:4	1	1	2	2	1	1	0	1	0	0	0	0	0	2	1	0	0	0	2	2	0	0	0	0	2	1	2	2	0	0	1	1	0	0	1	0	0	1	1	2	0	1	3	0	0	1	1	3	1	0	0	4	4	0	1	0	1	0	1	1	1	0	0	0	1	0	0	7	0	0	0	1	0	0	2	1	0	0	0	1	4	3	0	3	3	0	3	1	0	1	1	0	2	0	3	0	0	0	0	0
1:Ins:T:5	26	5	116	44	10	0	22	17	2	8	38	1	4	70	70	23	1	1	33	209	10	43	7	1	5	8	97	19	2	26	22	43	12	14	14	44	0	5	26	168	17	75	48	43	40	24	28	53	13	144	82	237	21	23	32	29	65	65	143	13	11	7	24	31	56	11	33	199	59	18	1	64	39	21	45	10	6	5	30	38	289	109	18	75	176	27	33	12	7	12	79	2	32	33	167	6	2	1	6	10
2:Del:R:0	0	1	2	1	1	0	1	5	0	1	1	0	0	8	1	0	2	0	0	4	1	3	6	1	1	0	3	3	1	0	1	3	0	0	0	2	0	0	2	1	5	1	0	3	1	0	0	0	4	3	3	2	8	1	0	1	0	1	0	1	0	0	2	0	1	3	1	2	0	0	1	0	5	1	0	6	0	1	2	1	2	1	0	0	0	6	1	1	2	4	1	0	0	3	2	1	0	0	0	0
2:Del:R:1	1	1	2	0	1	0	0	2	0	2	0	0	0	7	1	1	0	0	0	2	0	6	1	0	2	1	4	2	1	0	1	2	1	0	1	3	0	0	1	2	0	0	0	2	0	0	0	0	1	0	1	1	0	0	1	0	4	0	1	0	1	2	5	1	0	0	0	1	0	0	1	0	1	0	4	1	0	0	0	1	0	1	0	1	0	0	2	0	4	0	0	1	0	1	1	1	0	0	1	0
2:Del:R:2	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0
2:Del:R:3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2:Del:R:4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2:Del:R:5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
3:Del:R:0	0	0	1	1	0	0	0	0	0	6	0	0	0	6	0	0	0	1	0	3	1	0	0	0	0	3	2	0	0	0	0	3	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	2	1	0	0	1	2	1	0	1	1	0	0	1	0	1	2	0	1	1	0	1	0	1	0	0	0	1	0	2	4	0	0	0	1	4	0	0	0	0	3	0	0	0	0	0	0	1	2	0	0	0	0	0
3:Del:R:1	0	0	0	2	0	0	0	1	1	3	0	1	0	1	0	1	2	0	0	2	2	2	0	0	0	0	2	2	0	1	1	0	0	0	0	1	0	0	0	3	2	0	1	3	0	0	2	1	1	0	0	2	1	2	2	1	1	2	0	0	1	1	0	1	0	1	0	1	0	2	0	1	1	0	1	4	1	0	0	0	3	2	0	1	2	0	0	0	2	0	0	0	3	1	0	0	0	0	0	0
3:Del:R:2	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0
3:Del:R:3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3:Del:R:4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3:Del:R:5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4:Del:R:0	0	1	1	0	0	0	0	1	0	1	0	1	0	3	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	3	0	0	1	1	0	0	0	0	2	2	0	0	0	0	0	0	0	1	4	1	0	0	0	1	0	0	0	0	5	0	0	1	2	0	0	0	0	0	0	1	0	1	1	0	2	0	1	1	0	0	0	0	0	0	1	0
4:Del:R:1	0	1	1	0	0	2	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	1	0	4	0	1	0	4	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	3	1	0	0	2	0	1	0	1	1	0	0	0	1	0	0	0	1	1	2	0	1	0	1	0	1	1	5	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0
4:Del:R:2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
4:Del:R:3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4:Del:R:4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4:Del:R:5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Del:R:0	7	5	12	0	3	2	12	16	9	59	6	1	0	98	2	1	1	23	0	79	2	64	2	20	15	39	79	0	15	6	3	1	13	0	10	49	0	0	57	7	11	2	4	38	1	0	19	3	18	15	1	2	4	11	1	0	37	0	5	22	1	33	57	4	7	5	9	1	3	1	1	4	34	2	16	3	30	4	0	12	0	38	0	23	0	0	49	13	31	3	7	5	3	14	5	11	0	0	11	0
5:Del:R:1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0
5:Del:R:2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Del:R:3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Del:R:4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Del:R:5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2:Ins:R:0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	1	0	0	1	1	1	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0
2:Ins:R:1	0	3	100	3	36	0	226	0	3	14	0	240	0	88	44	74	1	173	13	7	3	50	2	4	1	33	21	90	3	1	5	3	29	39	177	0	5	19	34	36	0	68	1	1	4	0	37	67	12	49	85	28	31	6	6	4	104	3	2	329	17	41	36	11	128	12	1	20	31	74	4	6	50	14	0	127	4	13	3	42	104	85	25	83	7	16	7	93	38	105	21	0	0	0	3	23	75	9	2	52
2:Ins:R:2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
