MutationType	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100
1:Del:C:0	100	15	92	206	3	0	69	17	5	1	87	15	46	40	22	18	92	9	46	9	0	10	11	62	16	32	8	22	35	175	124	4	8	62	5	2	18	5	3	46	32	24	60	9	1	9	20	24	88	1	53	88	46	3	15	1	128	33	8	48	9	23	97	10	2	0	13	73	17	1	24	138	23	27	14	5	2	5	24	28	55	18	8	2	1	5	9	38	2	10	6	0	2	13	6	13	2	3	29	0
1:Del:C:1	40	10	12	50	1	0	28	14	2	1	47	8	11	12	2	6	7	0	18	2	0	5	0	16	14	8	6	15	17	70	43	1	9	10	4	0	6	2	3	7	21	22	15	6	1	1	5	2	13	2	17	32	11	0	6	0	66	5	0	9	4	6	19	0	2	1	1	13	7	3	6	52	5	0	4	2	1	3	6	12	8	4	15	1	0	1	8	6	2	7	4	0	3	31	3	0	0	2	8	0
1:Del:C:2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	2	0	3	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0
1:Del:C:3	4	0	2	6	0	0	3	2	3	0	8	0	2	1	0	1	0	1	1	2	0	0	0	2	1	0	1	0	1	14	5	0	1	5	4	0	3	0	0	1	1	3	0	1	0	0	2	4	3	0	3	0	2	0	0	1	7	0	0	0	4	0	2	0	0	2	0	1	1	2	2	4	0	1	0	0	0	0	3	2	1	1	1	2	1	0	0	1	1	1	0	0	1	1	1	2	0	2	2	0
1:Del:C:4	4	3	2	11	0	0	4	0	0	0	3	1	2	4	1	1	1	3	2	0	0	3	0	4	1	2	0	2	2	10	4	0	0	4	0	0	2	1	0	2	2	1	7	2	0	0	1	1	4	1	3	5	1	0	1	0	8	0	0	3	0	1	1	2	1	1	1	4	1	0	2	1	1	0	2	0	0	1	0	1	4	1	1	0	0	0	0	0	0	1	2	1	0	3	1	0	0	1	2	0
1:Del:C:5	2	2	3	2	6	2	0	3	1	0	2	1	1	0	2	0	0	4	2	1	0	0	0	1	1	9	1	1	6	2	0	2	2	8	7	1	2	4	0	0	5	5	2	2	2	0	0	1	0	0	3	5	5	0	0	0	3	2	0	2	2	10	4	1	2	7	1	3	0	0	1	19	4	0	5	0	1	0	2	2	4	2	0	1	2	0	0	2	2	3	1	4	3	0	9	1	11	1	3	2
1:Del:T:0	5	15	44	92	0	1	21	22	9	0	36	3	9	12	5	19	16	1	11	0	3	14	3	24	15	12	9	17	26	55	38	5	3	7	8	0	4	3	2	9	15	16	27	3	1	5	18	14	13	0	30	18	13	2	11	1	68	2	0	25	6	11	22	1	0	5	23	36	8	1	6	60	11	2	7	2	1	3	12	8	9	5	6	0	2	0	3	8	0	4	2	2	5	15	7	4	0	0	9	2
1:Del:T:1	20	10	8	23	0	0	9	3	1	0	8	3	3	2	8	4	5	0	7	2	0	5	0	17	1	5	1	3	4	37	30	2	0	12	2	0	3	0	0	5	13	4	9	2	0	2	8	2	6	0	11	15	3	0	2	0	31	2	0	1	3	4	21	0	0	1	2	3	3	0	3	32	6	4	2	0	0	1	1	8	7	7	1	0	1	2	3	4	1	1	3	0	4	6	2	0	1	1	3	0
1:Del:T:2	28	13	15	49	3	0	8	4	1	0	19	10	6	16	5	12	10	1	6	0	1	5	0	13	9	1	3	5	16	53	32	0	4	10	4	0	9	1	0	8	15	1	9	5	1	4	6	14	28	0	9	34	9	1	4	0	40	4	1	14	4	7	15	2	0	0	17	7	13	1	8	33	14	8	1	2	1	3	7	10	7	2	4	4	0	0	7	12	2	1	8	3	4	7	0	2	0	1	7	1
1:Del:T:3	20	3	23	33	5	1	31	8	5	0	18	6	7	25	3	3	21	0	15	5	1	9	6	10	6	15	11	16	42	59	28	2	1	25	2	1	6	5	2	16	4	1	18	8	3	5	14	12	12	0	26	38	17	4	0	1	89	3	3	9	2	9	24	4	5	10	6	12	14	0	9	36	19	8	6	1	0	7	11	11	6	3	5	3	2	1	2	24	2	6	0	2	5	17	1	2	3	1	7	2
1:Del:T:4	28	9	8	26	11	4	34	3	2	1	41	3	4	18	6	3	13	6	9	1	0	5	7	49	5	10	2	12	14	77	57	7	21	5	3	1	17	0	3	6	11	3	8	5	0	13	4	8	7	0	23	25	16	2	0	1	60	3	4	13	0	8	14	8	9	5	12	40	7	3	11	59	10	2	7	0	0	2	2	20	18	1	1	2	2	2	4	5	0	10	4	13	6	7	3	2	1	2	13	3
1:Del:T:5	7	105	15	12	184	59	30	35	71	9	94	23	41	0	17	27	68	96	13	131	41	19	62	61	19	61	43	96	28	27	41	46	76	117	138	6	77	69	1	18	28	65	200	33	13	107	29	49	7	10	22	40	27	59	103	17	13	9	26	8	12	30	45	91	221	31	76	59	3	34	63	1	23	39	34	12	0	6	0	21	9	51	1	100	27	2	1	43	2	483	58	230	164	16	15	12	16	49	80	24
1:Ins:C:0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
1:Ins:C:1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1:Ins:C:2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	2	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1:Ins:C:3	0	0	3	5	21	1	10	3	21	0	6	27	13	0	12	2	23	0	1	1	31	12	2	1	9	2	21	1	2	0	0	1	1	14	3	0	2	3	0	6	7	38	5	12	4	64	0	4	2	3	5	6	0	1	2	3	0	3	2	4	8	31	1	0	1	2	0	18	1	0	37	1	3	14	5	12	1	2	1	2	0	1	0	5	8	2	0	27	1	3	0	15	19	5	0	0	0	7	0	7
1:Ins:C:4	6	1	10	17	93	5	51	20	67	0	29	88	46	2	14	4	180	3	7	3	29	34	13	6	17	1	58	5	17	1	6	9	3	74	3	4	5	16	3	15	17	76	7	31	14	273	1	24	8	0	16	22	0	4	13	22	0	15	2	27	6	75	2	2	1	35	1	65	1	0	46	1	2	88	38	6	5	13	1	5	0	1	0	15	20	1	0	106	1	13	0	34	39	13	0	4	9	34	11	20
1:Ins:C:5	0	3	2	0	0	1	9	3	0	0	4	1	1	1	0	0	1	0	7	5	0	0	1	1	5	0	1	0	0	0	5	1	0	2	0	0	2	1	0	2	1	1	0	0	4	0	4	10	0	2	1	6	3	0	0	2	2	2	4	0	0	0	9	1	5	4	3	3	1	0	0	0	0	3	9	1	0	3	4	10	1	0	0	2	1	1	0	0	0	7	1	0	0	3	0	0	0	1	2	2
1:Ins:T:0	8	0	5	4	0	1	1	1	1	0	1	1	3	2	1	2	2	1	2	1	0	4	0	4	0	2	0	2	4	2	2	0	0	0	0	0	2	2	0	2	5	3	2	0	0	0	2	2	1	1	2	3	0	0	0	0	5	1	1	2	1	0	5	0	0	2	2	1	1	1	1	2	2	2	0	0	0	1	2	5	4	0	2	0	0	0	0	3	1	2	0	1	1	2	0	0	0	1	1	0
1:Ins:T:1	3	1	2	1	0	0	1	2	0	0	3	0	3	1	0	1	1	1	1	0	0	1	0	2	1	2	1	2	3	3	2	1	0	1	1	0	1	0	1	3	1	7	0	0	0	0	1	0	1	1	3	3	0	0	2	0	6	0	0	3	0	0	5	0	0	0	1	2	2	0	0	1	1	1	1	0	0	1	0	1	1	0	2	0	0	0	0	2	0	3	0	0	1	0	0	1	0	1	0	0
1:Ins:T:2	2	0	1	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	1	1	0	0	2	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
