MutationType	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100
1:Del:C:0	73	41	5	57	12	16	22	34	59	10	10	8	31	8	19	67	3	14	28	37	67	15	8	4	2	0	2	21	3	72	0	20	72	17	0	21	14	3	29	73	6	41	22	16	15	1	39	13	21	2	23	2	24	1	31	3	65	1	5	0	7	67	22	49	0	14	0	31	0	1	44	0	95	12	12	23	7	10	5	1	2	12	70	36	32	9	16	7	8	4	13	12	0	13	2	18	63	28	6	43
1:Del:C:1	20	12	2	19	1	4	3	11	18	4	4	2	8	2	5	9	3	6	5	10	28	6	2	2	0	0	4	4	1	14	0	8	22	3	1	5	2	1	5	26	1	18	6	3	2	0	13	7	8	2	3	0	7	0	16	1	17	1	3	1	0	14	10	10	0	7	0	11	0	0	10	0	25	1	6	9	4	3	0	0	0	5	18	2	10	5	16	0	6	0	3	3	0	2	0	6	12	10	2	6
1:Del:C:2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	1	0	1	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1:Del:C:3	0	2	1	3	1	3	2	1	2	0	1	0	0	0	0	2	0	1	3	1	2	1	0	0	1	0	0	3	0	2	0	2	2	0	0	0	4	1	0	1	0	3	0	0	2	0	4	4	1	0	1	1	1	1	0	0	4	0	0	1	0	0	1	2	0	1	0	0	0	0	6	1	5	0	0	0	0	0	0	0	0	1	1	0	1	0	2	0	1	0	0	2	0	1	0	2	0	2	1	1
1:Del:C:4	3	0	1	1	1	2	3	2	2	1	0	0	1	0	2	5	0	0	1	0	1	1	0	0	0	0	0	2	0	4	0	2	1	2	0	1	4	0	0	5	1	2	0	2	0	1	2	1	0	1	2	0	2	0	1	2	2	0	0	0	0	2	1	4	0	2	0	1	0	1	3	2	2	0	1	1	1	0	1	0	1	0	0	3	2	2	1	0	0	0	2	0	1	2	0	0	4	1	0	2
1:Del:C:5	1	2	0	1	2	4	14	0	0	0	2	0	0	0	0	0	0	0	2	0	2	1	2	0	2	0	0	1	3	0	0	0	1	0	0	0	1	0	0	1	1	4	0	1	0	0	0	0	1	2	4	3	1	0	0	0	0	0	0	0	0	2	2	0	0	1	0	0	0	5	2	0	1	4	0	0	1	0	1	1	3	3	0	0	1	0	1	0	1	7	2	5	1	2	0	0	0	1	0	3
1:Del:T:0	23	15	8	27	3	9	20	22	12	3	3	22	9	2	15	33	0	3	10	16	22	8	5	6	7	0	3	8	8	23	6	8	27	8	2	7	6	13	33	23	9	16	4	16	5	1	14	5	10	4	15	7	4	3	13	7	26	2	2	7	11	15	34	6	3	13	1	7	9	5	8	0	29	9	10	12	6	4	2	33	2	11	17	10	9	5	13	2	2	10	10	15	2	3	5	10	15	12	1	15
1:Del:T:1	7	10	2	12	1	3	0	5	13	1	1	1	4	0	2	9	0	0	4	1	7	0	1	0	0	0	0	4	0	9	1	3	9	2	0	1	3	1	2	12	4	12	4	3	0	2	6	2	2	2	2	0	6	0	4	1	7	0	1	0	0	3	6	8	0	2	0	2	0	0	4	0	5	2	5	8	0	2	1	0	0	0	9	2	3	2	2	0	1	0	1	3	0	4	0	3	9	4	1	6
1:Del:T:2	16	8	3	23	3	6	5	15	9	2	1	0	4	3	6	17	0	3	4	9	16	3	0	1	2	0	1	7	2	30	2	5	13	3	0	4	4	1	4	20	2	22	4	3	3	2	14	3	9	3	9	1	4	0	10	2	23	0	1	1	1	13	10	11	0	4	1	11	0	5	7	0	22	5	4	9	5	6	1	1	1	4	15	14	10	5	5	0	1	0	4	0	1	3	0	5	9	8	3	4
1:Del:T:3	25	17	14	27	5	17	33	18	22	5	17	20	7	4	14	40	2	10	11	14	25	13	3	9	16	1	6	15	16	41	5	10	26	5	4	8	4	26	45	24	5	18	8	15	9	3	16	2	8	7	17	4	10	6	11	5	22	2	2	13	12	24	48	4	0	19	5	14	15	13	4	5	39	14	33	9	11	8	4	41	6	12	45	8	10	3	12	3	1	37	27	21	3	12	5	13	20	11	1	13
