MutationType	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100
1:Del:C:0	0	38	2	10	2	12	3	17	6	13	29	6	0	3	47	2	26	4	38	0	4	4	103	10	20	2	2	6	64	1	75	0	61	0	15	15	6	88	12	28	65	134	14	40	15	5	0	0	18	14	24	43	10	3	26	52	2	6	24	21	9	1	8	10	24	10	181	14	93	0	1	92	1	45	2	4	20	125	8	17	6	0	10	18	7	7	4	93	0	0	9	74	43	13	3	5	12	0	3	30
1:Del:C:1	2	7	1	4	3	0	4	6	4	6	8	5	3	1	19	1	6	4	21	1	3	2	18	3	5	3	1	2	22	5	19	2	13	0	1	3	2	28	3	14	20	36	7	11	11	2	1	0	5	1	4	13	5	2	6	7	0	7	5	3	3	0	1	4	10	9	61	6	27	3	0	29	0	16	0	2	5	39	1	7	0	0	2	8	3	3	1	26	0	0	2	22	15	12	4	1	3	0	3	10
1:Del:C:2	0	0	1	1	0	0	1	0	0	0	0	0	1	0	2	0	0	3	0	0	0	0	0	1	1	0	1	0	0	0	2	0	0	0	0	2	0	2	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0	1	0
1:Del:C:3	0	0	0	1	1	1	1	0	0	1	2	2	0	1	2	0	2	0	1	0	1	1	1	0	0	3	0	1	1	1	3	1	2	0	1	1	0	2	0	1	4	7	0	0	1	0	0	0	1	0	1	1	1	0	4	1	2	2	0	2	2	0	3	0	6	3	8	1	1	0	0	7	0	0	0	2	2	7	0	2	0	1	1	1	1	0	0	5	0	0	3	0	1	3	0	0	2	0	1	0
1:Del:C:4	0	2	0	0	0	1	1	0	0	0	1	0	0	1	2	0	1	1	2	3	0	0	5	1	0	0	1	0	4	0	5	1	4	0	0	2	0	3	0	1	2	6	0	2	0	0	0	0	0	0	1	2	2	0	1	2	1	0	1	2	1	0	2	0	0	0	3	0	6	0	1	6	0	5	0	1	1	6	2	0	0	1	0	0	2	0	0	5	0	0	0	0	1	0	0	0	2	0	0	1
1:Del:C:5	1	1	0	1	0	0	0	1	0	0	1	0	7	0	0	0	0	1	0	2	0	0	5	0	0	1	3	0	1	0	1	0	0	1	1	2	0	0	5	0	0	1	0	0	4	0	2	1	0	0	0	0	10	1	0	0	3	0	1	1	4	1	4	1	1	1	6	1	1	2	1	0	0	0	2	1	0	0	0	2	1	2	1	1	0	0	1	0	2	1	0	1	1	1	0	0	3	1	0	0
1:Del:T:0	0	23	0	6	5	2	2	10	3	5	8	2	1	2	18	2	9	2	25	2	2	1	40	7	8	4	6	4	26	3	18	0	24	0	3	10	1	43	4	10	28	45	9	18	8	1	2	0	8	6	7	9	9	3	11	17	3	4	6	4	5	3	5	5	18	9	71	9	30	1	1	31	0	18	1	8	8	36	3	4	2	0	4	7	3	5	3	25	0	1	6	20	14	11	3	3	7	0	2	16
1:Del:T:1	1	7	0	0	0	0	1	2	0	2	3	1	0	0	7	2	5	1	4	0	0	1	16	1	2	1	2	0	9	1	12	0	11	0	0	1	0	6	1	3	8	12	3	4	3	0	0	0	2	2	5	4	1	0	7	8	2	3	6	3	0	0	3	1	2	1	21	3	15	0	0	8	0	11	0	0	3	15	0	2	1	1	1	2	1	0	0	15	0	0	3	6	9	3	3	0	8	0	0	2
1:Del:T:2	39	10	2	30	4	5	7	186	3	20	8	16	33	4	16	24	9	2	25	12	3	4	32	10	47	3	7	38	16	21	21	65	15	2	15	23	7	32	3	6	27	44	4	71	7	4	23	61	7	10	79	23	28	0	7	10	29	3	6	31	6	25	10	4	6	4	67	29	32	24	79	33	4	19	2	8	35	47	31	10	4	20	38	25	4	7	58	33	104	97	4	35	25	33	55	5	3	27	0	12
1:Del:T:3	0	18	2	2	0	4	3	10	1	6	12	4	2	0	20	0	9	4	13	1	0	0	35	4	4	2	1	2	17	1	22	0	15	0	1	13	1	20	9	12	23	52	7	22	9	4	4	0	5	4	8	18	11	1	9	16	5	6	8	9	5	0	2	3	4	2	63	11	38	0	3	32	1	19	3	3	6	33	6	12	1	1	3	4	4	2	3	26	2	0	0	20	14	2	2	2	7	0	0	10
