MutationType	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100
1:Del:C:0	18	0	2	2	34	9	2	6	3	9	16	3	5	23	0	52	3	54	24	8	22	11	2	26	1	27	0	82	40	5	9	3	2	8	23	76	18	25	21	4	22	119	36	3	3	0	17	21	0	10	102	4	27	90	28	2	10	3	4	3	3	4	43	11	2	2	8	21	15	72	2	1	2	3	8	67	11	6	4	1	4	11	3	6	7	8	6	2	9	21	6	14	6	5	8	14	42	8	0	2
1:Del:C:1	2	3	2	0	6	3	0	3	2	4	11	2	0	6	1	7	2	9	4	1	16	6	0	9	1	2	0	22	8	0	1	0	0	3	16	20	7	6	3	2	4	33	13	0	1	0	2	6	0	4	20	9	7	13	4	1	7	0	0	4	1	4	20	5	1	0	4	10	11	10	0	0	2	3	7	19	1	4	4	0	3	2	1	1	13	0	2	0	1	3	5	3	0	2	7	2	6	1	0	3
1:Del:C:2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	2	2	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	2	0	1	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1:Del:C:3	0	0	1	0	1	2	0	0	0	1	0	1	1	0	1	0	2	0	1	0	1	0	0	3	0	3	0	5	2	2	1	0	0	1	0	1	0	0	0	1	4	2	0	0	0	0	0	1	0	0	3	4	1	2	1	0	1	1	0	1	0	1	1	1	0	0	4	3	2	1	1	0	3	4	1	0	1	2	2	0	2	0	1	0	1	0	0	1	1	2	1	1	1	0	2	0	1	0	0	0
1:Del:C:4	1	2	2	0	2	1	0	0	0	1	3	0	0	0	0	1	2	1	1	0	4	1	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	2	2	0	0	0	2	0	0	2	4	0	0	0	2	0	1	0	0	0	0	1	4	1	0	0	0	4	0	0	0	0	1	1	5	1	2	3	0	1	1	1	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	1	0
1:Del:C:5	1	0	0	1	0	0	0	1	0	1	3	0	0	0	1	1	1	4	0	5	2	0	2	12	0	0	0	0	0	1	4	0	4	0	0	0	0	0	0	1	2	2	2	2	1	0	1	1	1	6	3	0	0	0	0	0	0	0	0	2	0	1	0	1	3	3	0	0	2	0	0	0	3	4	2	3	1	2	0	3	0	2	0	2	1	2	0	0	3	2	1	4	0	0	0	1	2	1	2	2
1:Del:T:0	8	0	2	1	22	1	0	8	0	7	0	0	1	12	0	12	1	13	0	2	46	2	0	10	2	4	2	40	7	3	7	3	4	3	12	38	16	7	4	8	5	30	14	1	2	0	2	10	2	3	10	17	3	8	6	0	4	1	2	5	0	1	27	10	6	0	12	10	3	11	3	2	2	4	8	29	4	5	2	1	1	3	0	0	4	2	2	0	2	8	3	3	1	0	4	6	7	1	0	2
1:Del:T:1	0	0	0	0	2	1	0	2	0	1	1	0	1	4	0	3	0	11	2	0	15	2	0	1	1	3	0	22	10	0	3	0	0	3	7	5	2	5	12	3	3	10	4	1	0	0	0	1	0	0	9	2	4	13	3	0	3	0	1	0	1	0	7	0	0	0	0	3	0	6	0	0	1	0	6	8	2	2	2	0	0	0	0	0	2	0	0	0	1	2	0	2	0	1	5	2	5	0	0	0
1:Del:T:2	2	1	2	2	3	1	0	3	0	7	2	1	0	13	0	7	2	17	4	3	24	5	0	0	0	14	0	35	2	1	3	0	1	2	8	8	2	4	6	1	8	40	7	1	0	0	2	7	0	3	7	3	4	38	8	0	0	2	0	2	0	4	14	0	2	1	3	5	7	7	0	1	0	6	2	10	5	7	3	2	0	10	2	0	3	3	3	0	3	8	4	2	0	0	2	2	11	3	0	0
1:Del:T:3	4	3	2	2	8	1	0	2	1	9	6	2	1	17	1	4	3	24	1	6	39	6	1	8	1	18	1	46	7	2	14	0	1	4	13	21	6	7	10	4	10	34	12	3	0	0	14	8	4	9	31	3	11	14	15	2	5	3	1	1	0	4	6	8	4	1	5	15	5	8	1	1	9	5	7	22	5	2	1	3	4	14	0	4	1	2	3	0	12	6	3	11	3	1	3	5	8	2	0	3
1:Del:T:4	6	3	4	8	4	0	3	3	5	1	18	4	7	53	1	22	9	18	8	17	15	4	9	32	8	8	6	26	5	4	6	3	4	0	3	23	10	1	6	9	9	27	12	14	9	0	15	11	10	6	17	5	4	25	6	0	1	3	4	2	9	15	8	8	16	4	4	32	5	12	5	5	19	10	13	52	31	7	5	6	13	65	7	14	2	2	9	3	14	5	5	28	3	6	8	3	2	6	3	13
1:Del:T:5	42	17	70	154	32	13	3	27	7	1	92	66	17	222	5	80	224	135	10	288	65	62	51	662	36	158	36	46	81	54	515	11	92	1	4	23	14	27	4	72	107	76	19	17	21	13	147	22	127	98	114	78	1	40	99	3	0	43	20	62	115	61	95	19	218	76	61	55	1	32	74	1	115	105	181	90	144	54	41	47	8	506	3	58	157	38	92	64	42	50	1	230	44	42	21	60	75	97	19	98
1:Ins:C:0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1:Ins:C:1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
